ncap,seed,H,gini,alive,ratio_sg,share_rate,quadrant
220,20064,0.4634,0.0724,213,0.1483,0.0545,Utopia
220,20065,1.2186,0.1187,206,1.0361,0.4077,Type_B
220,20066,1.6689,0.5369,220,1.7351,0.3608,Roma
220,20067,1.0443,0.157,204,1.0236,0.3545,Type_B
220,20068,0.5501,0.0704,220,0.1983,0.0871,Utopia
220,20069,1.0263,0.4148,210,0.6632,0.3891,Roma
220,20070,1.6063,0.5044,216,0.526,0.2212,Roma
220,20071,1.0905,0.1329,191,1.3823,0.404,Type_B
220,20072,1.1044,0.1846,190,1.8532,0.501,Type_B
220,20073,1.2999,0.2959,214,0.169,0.1121,Roma
220,20074,0.9405,0.2266,217,0.3184,0.2349,Utopia
220,20075,1.0358,0.408,211,0.6276,0.374,Roma
220,20076,0.9341,0.2935,219,0.3837,0.2619,Type_A
220,20077,1.4316,0.3591,218,0.2456,0.1425,Roma
220,20078,1.1213,0.401,197,0.0002,0.0002,Roma
220,20079,0.8079,0.0821,219,0.5898,0.2136,Utopia
220,20080,0.9195,0.2298,217,0.3231,0.2388,Utopia
220,20081,1.5328,0.4261,220,1.7959,0.2499,Roma
220,20082,0.2628,0.0465,219,0.0002,0.0002,Utopia
220,20083,1.2954,0.3072,212,0.1935,0.1269,Roma
220,20084,1.1504,0.3946,151,0.0002,0.0001,Roma
220,20085,1.1539,0.1198,203,0.9621,0.4068,Type_B
220,20086,0.682,0.0792,207,0.3246,0.1287,Utopia
220,20087,1.084,0.1785,200,1.405,0.4349,Type_B
220,20088,0.2851,0.046,220,0.0002,0.0002,Utopia
220,20089,1.0794,0.2863,191,2.2917,0.5471,Roma
220,20090,0.0577,0.0348,165,0.0002,0.0002,Utopia
220,20091,0.9082,0.2314,216,0.3241,0.2399,Utopia
220,20092,0.9725,0.3459,208,0.4762,0.3142,Type_A
220,20093,1.1014,0.1825,208,1.5157,0.4461,Type_B
220,20094,0.2887,0.0462,220,0.0002,0.0002,Utopia
220,20095,0.9449,0.3066,213,0.3972,0.2719,Type_A
220,20096,1.3224,0.4275,173,0.0003,0.0003,Roma
220,20097,1.3104,0.4285,184,0.0002,0.0001,Roma
220,20098,0.6658,0.0767,215,0.353,0.1343,Utopia
220,20099,0.2196,0.0467,218,0.0003,0.0003,Utopia
222,20000,1.8349,0.4562,220,0.2129,0.0974,Roma
222,20001,0.9587,0.2898,222,0.3747,0.2652,Type_A
222,20002,1.493,0.4148,220,0.3265,0.1782,Roma
222,20003,0.7359,0.0825,207,0.3736,0.1576,Utopia
222,20004,0.306,0.0458,222,0.0002,0.0001,Utopia
222,20005,1.0024,0.454,193,4.2405,0.6545,Roma
222,20006,1.2517,0.4145,159,0.0002,0.0001,Roma
222,20007,1.0027,0.3284,222,0.4422,0.2936,Roma
222,20008,0.8673,0.4501,196,6.1613,0.7292,Type_A
222,20009,1.0334,0.3628,214,0.5212,0.3291,Roma
222,20010,1.1988,0.295,213,1.7015,0.4856,Roma
